Rank	Country	Home ownership  rate(%)	Date of  Information	id	link
1	Romania	96.4	2015[2]	ROU	Romania
2	Singapore	90.7	2017[3]	SGP	Singapore
3	Slovakia	90.3	2014[2]	SVK	Slovakia
4	China	90	2014[4]	CHN	China
5	Cuba	90	2014[5]	CUB	Cuba
6	Croatia	89.7	2014[2]	HRV	Croatia
7	Lithuania	89.4	2015[2]	LTU	Lithuania
8	India	86.6	2011[6]	IND	India
9	Hungary	86.3	2015[2]	HUN	Hungary
10	Russia	84	2012[7]	RUS	Russia
11	Poland	83.5	2014[2]	POL	Poland
12	Oman	83	2014[8]	OMN	Oman
13	Norway	82.8	2015[2]	NOR	Norway
14	Bulgaria	82.3	2015[2]	BGR	Bulgaria
15	Serbia	82	2017[9]	SRB	Serbia
16	Estonia	81.5	2015[2]	EST	Estonia
17	Latvia	80.2	2015[2]	LVA	Latvia
18	Malta	80	2014[2]	173	Malta
19	Mexico	80	2009[10]	MEX	Mexico
20	Thailand	80	2002[11]	THA	Thailand
21	Spain	78.2	2015[2]	ESP	Spain
22	Czech Republic	78	2015[2]	CZE	Czech Republic
23	Iceland	77.8	2015[2]	ISL	Iceland
24	Slovenia	76.2	2015[2]	SVN	Slovenia
25	Trinidad and Tobago	76	2013[12]	TTO	Trinidad and Tobago
26	Portugal	74.9	2014[2]	PRT	Portugal
27	Brazil	74.4	2008[13]	BRA	Brazil
28	Greece	74	2014[2]	GRC	Greece
29	Cyprus	73.1	2014[2]	CYP	Cyprus
30	Italy	72.9	2014[2]	ITA	Italy
31	Finland	72.7	2015[2]	FIN	Finland
32	Luxembourg	72.5	2014[2]	LUX	Luxembourg
33	Belgium	71.3	2016[2]	BEL	Belgium
34	Sweden	70.6	2015[2]	SWE	Sweden
35	Ireland	68.6	2014[14]	IRL	Ireland
36	Netherlands	67.8	2015[2]	NLD	Netherlands
37	Canada	67.6	2013[15]	CAN	Canada
38	Israel	67.3	2014[16]	ISR	Israel
39	Turkey	67.3	2011[17]	TUR	Turkey
40	Australia	65.5	2016[18]	AUS	Australia
41	France	65	2014[2]	FRA	France
42	United States	64.5	2014[19]	USA	United States
43	United Kingdom	63.5	2015[2]	GBR	United Kingdom
44	New Zealand	63.2	2017[20]	NZL	New Zealand
45	Denmark	62.7	2015[2]	DNK	Denmark
46	Japan	61.6	2008[21]	JPN	Japan
47	South Korea	56.8	2015[22]	KOR	South Korea
48	Austria	55	2016[2]	AUT	Austria
49	Germany	51.9	2015[2]	DEU	Germany
50	Hong Kong	51	2014[23]	HKG	Hong Kong
51	Switzerland	43.4	2015[2]	CHE	Switzerland